バシロなど珍しい虫を見つけた場所

タイトル,メモ,URL,タグ,コメント
,,,,
１５−２ Millak-dong,,https://www.google.com/maps/place/%EF%BC%91%EF%BC%95%E2%88%92%EF%BC%92+Millak-dong/data=!4m2!3m1!1s0x357cc8a8a31d8e67:0x6a08f9126eef8664,,
山吹渓谷,,https://www.google.com/maps/place/%E5%B1%B1%E5%90%B9%E6%B8%93%E8%B0%B7/data=!4m2!3m1!1s0x60010373d7b6848d:0x8b92e78c728ef26,,
指定した地点,,"https://www.google.com/maps/search/34.9061554,135.6526113",,
京都市立西総合支援学校,,https://www.google.com/maps/place/%E4%BA%AC%E9%83%BD%E5%B8%82%E7%AB%8B%E8%A5%BF%E7%B7%8F%E5%90%88%E6%94%AF%E6%8F%B4%E5%AD%A6%E6%A0%A1/data=!4m2!3m1!1s0x6001009447d99f1b:0xe9f9cd0d9a332cfa,,
桂坂野鳥遊園,,https://www.google.com/maps/place/%E6%A1%82%E5%9D%82%E9%87%8E%E9%B3%A5%E9%81%8A%E5%9C%92/data=!4m2!3m1!1s0x600100c7b7ba1963:0xa3db2836c0a32b7f,,
日本ボーイスカウト京都連盟長岡第２団 キャンプ場,,https://www.google.com/maps/place/%E6%97%A5%E6%9C%AC%E3%83%9C%E3%83%BC%E3%82%A4%E3%82%B9%E3%82%AB%E3%82%A6%E3%83%88%E4%BA%AC%E9%83%BD%E9%80%A3%E7%9B%9F%E9%95%B7%E5%B2%A1%E7%AC%AC%EF%BC%92%E5%9B%A3+%E3%82%AD%E3%83%A3%E3%83%B3%E3%83%97%E5%A0%B4/data=!4m2!3m1!1s0x6001011ef24eb2d3:0x2b7e18344d20b393,,
柳谷道,,https://www.google.com/maps/place/%E6%9F%B3%E8%B0%B7%E9%81%93/data=!4m2!3m1!1s0x6001039508198f5d:0x215dca2b33fce1f5,,
ウッドクラフト木創舎,,https://www.google.com/maps/place/%E3%82%A6%E3%83%83%E3%83%89%E3%82%AF%E3%83%A9%E3%83%95%E3%83%88%E6%9C%A8%E5%89%B5%E8%88%8E/data=!4m2!3m1!1s0x6001038a31384a0b:0x4ac9d99f894bc2be,,
指定した地点,,"https://www.google.com/maps/search/37.4766578,139.4521491",,
